"Date","Blacksburg-Christiansburg-Radford, VA MSA","Charlottesville, VA MSA","Harrisonburg, VA MSA","Lynchburg, VA MSA","Richmond, VA MSA","Roanoke, VA MSA","Virginia","Virginia Beach-Norfolk-Newport News, VA-NC MSA","NOVA","Winchester, VA-WV MSA","0","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA, VA part","Staunton-Waynesboro, VA"
"01/01/2005","70800","96800","60300","103300","593700","155400","3573100","738300","1240500","53900","0","2863700","49300.0"
"02/01/2005","74000","97300","61100","103500","596400","156000","3588400","741500","1243400","54000","0","2877300","49300.0"
"03/01/2005","73700","97800","61000","104400","600300","156900","3614000","749400","1250700","54200","0","2895900","49800.0"
"04/01/2005","75200","100100","61300","105000","608200","157900","3650600","759400","1265300","55100","0","2919000","50200.0"
"05/01/2005","74100","99800","60400","104500","610700","159000","3671200","764600","1274600","55700","0","2937600","50400.0"
"06/01/2005","72700","100300","59900","104700","614200","160200","3701000","774300","1290700","56100","0","2955000","50600.0"
"07/01/2005","72200","98100","59600","103500","605000","158900","3682500","770000","1289600","53600","0","2952900","50000.0"
"08/01/2005","73300","97300","59700","103800","601400","159600","3683300","773500","1289700","53700","0","2946700","50100.0"
"09/01/2005","75500","101600","61200","106400","608000","160900","3700300","771100","1297700","55100","0","2954400","50400.0"
"10/01/2005","76600","99900","61700","106900","609300","160700","3696800","760400","1290700","57500","0","2954100","50500.0"
"11/01/2005","75400","100200","62100","107900","613000","162100","3718800","764800","1301700","57800","0","2975700","50600.0"
"12/01/2005","73500","100700","62200","107900","613200","162400","3727600","765100","1310900","57400","0","2987800","50500.0"
"01/01/2006","71300","99600","61600","105200","602700","159600","3655900","748000","1285300","56300","0","2927100","49900.0"
"02/01/2006","74900","100400","62900","105800","602900","159800","3666500","750200","1285000","56700","0","2939600","50200.0"
"03/01/2006","75400","100800","63200","106800","610200","161200","3702500","759200","1294900","57200","0","2967500","50500.0"
"04/01/2006","76300","103700","63600","107400","611900","161500","3715800","765900","1299900","57900","0","2974400","50700.0"
"05/01/2006","75000","103800","63100","106800","617600","162300","3745100","770700","1311000","58500","0","2992500","50700.0"
"06/01/2006","73300","103900","63500","107500","619600","164900","3779400","780700","1326200","59000","0","3015800","51000.0"
"07/01/2006","71900","101600","63500","106300","616500","162200","3746300","773900","1313700","58100","0","2998600","50300.0"
"08/01/2006","71200","100900","62900","106500","614800","162000","3741800","775000","1311700","58300","0","2991600","50400.0"
"09/01/2006","73900","104700","64800","108600","613700","163000","3738600","768100","1315600","58600","0","2994600","50700.0"
"10/01/2006","76200","104300","65800","108800","621400","163300","3748400","768800","1316800","58700","0","3001500","50900.0"
"11/01/2006","75500","105400","65500","109100","625300","164500","3767200","773100","1323200","59000","0","3013400","51200.0"
"12/01/2006","76400","105300","65800","109000","626500","164900","3779100","775000","1332600","58800","0","3027800","51100.0"
"01/01/2007","72300","102900","63700","106500","614200","161500","3703700","758100","1305600","57600","0","2961700","50300.0"
"02/01/2007","74700","104300","64100","106900","617500","160900","3709700","759500","1302300","57300","0","2969200","50400.0"
"03/01/2007","75000","105900","64200","107700","619200","162700","3741100","767600","1311300","57800","0","2993800","50900.0"
"04/01/2007","75300","106600","64300","108100","620300","162800","3757200","773000","1320100","58300","0","2999900","51100.0"
"05/01/2007","73400","106900","63200","108500","625600","164000","3781900","778600","1329700","58700","0","3018400","51300.0"
"06/01/2007","72800","106100","63600","108500","631600","165500","3813000","786700","1343900","59200","0","3033800","51600.0"
"07/01/2007","71700","104800","61800","107600","622400","163100","3781700","788400","1330000","58000","0","3022000","51000.0"
"08/01/2007","71700","104100","61700","107800","622600","163000","3774100","787200","1326100","58100","0","3011700","51100.0"
"09/01/2007","74500","106700","63800","109300","622900","163300","3777400","782100","1327800","58500","0","3009700","51600.0"
"10/01/2007","75900","107300","64600","109300","624400","163700","3784300","772800","1329700","57700","0","3027700","51300.0"
"11/01/2007","75400","107800","64700","110100","625500","164400","3802700","776400","1337300","57800","0","3040600","51600.0"
"12/01/2007","76200","107800","64900","110300","626800","164400","3807000","775600","1342800","57800","0","3051400","51500.0"
"01/01/2008","72500","103400","63500","108500","615900","161100","3727100","754000","1314300","56200","0","2979600","50800.0"
"02/01/2008","72900","106100","63900","108800","616900","161100","3735700","757300","1314000","55900","0","2989900","50900.0"
"03/01/2008","73300","106800","63900","109200","619300","162000","3756600","763700","1320700","56100","0","3008600","51000.0"
"04/01/2008","76700","106900","63700","109500","622800","161900","3780600","767500","1328000","56400","0","3027900","51500.0"
"05/01/2008","74200","107000","61900","109500","622500","163300","3797900","774300","1336000","56900","0","3044600","51700.0"
"06/01/2008","74400","106100","62400","110100","626000","164200","3818800","781800","1344900","57200","0","3050600","51700.0"
"07/01/2008","71900","104000","61500","109400","618400","161100","3786300","777800","1335200","56800","0","3048100","50800.0"
"08/01/2008","73000","103000","61200","109200","617500","161900","3781000","777800","1330200","56700","0","3036500","50900.0"
"09/01/2008","76500","105700","63500","110600","618500","162900","3773700","769500","1329500","56400","0","3026800","51100.0"
"10/01/2008","77200","106500","63700","110800","622300","162700","3776900","763500","1329900","56900","0","3029100","50500.0"
"11/01/2008","75900","106500","63700","111200","620900","162600","3771200","761100","1329700","56500","0","3030200","50500.0"
"12/01/2008","76000","106000","64100","110400","618500","162100","3762600","757600","1331100","55700","0","3028800","50100.0"
"01/01/2009","70700","102600","62200","106200","603000","157100","3649500","737500","1298100","54000","0","2958100","48600.0"
"02/01/2009","73500","103200","62000","104600","598500","156100","3638300","736300","1294400","53800","0","2957700","48400.0"
"03/01/2009","72900","104500","62000","104800","598700","155700","3645000","739400","1296500","53800","0","2966800","48100.0"
"04/01/2009","74200","103800","62300","104900","598900","155500","3654900","742600","1300100","53800","0","2967200","48500.0"
"05/01/2009","72300","104500","60800","105000","600100","156700","3673300","747900","1308600","54200","0","2982400","48600.0"
"06/01/2009","70100","103400","60600","104700","601400","157700","3686100","753100","1318300","54200","0","2992000","48700.0"
"07/01/2009","69700","101100","59700","103400","588800","153700","3640800","744900","1304600","53500","0","2988700","47800.0"
"08/01/2009","70200","100100","59200","103300","586300","153500","3631600","745300","1298400","53400","0","2969400","47800.0"
"09/01/2009","73200","102600","61200","104600","589500","155100","3632000","740100","1302000","53700","0","2955400","47800.0"
"10/01/2009","73100","104300","62300","104400","592900","155200","3644900","741000","1310000","53900","0","2976700","47900.0"
"11/01/2009","72200","104000","62300","104800","594000","155900","3655600","739400","1318100","54100","0","2989500","48100.0"
"12/01/2009","71700","103300","62500","104800","592900","155700","3652900","739000","1319800","53800","0","2991900","47900.0"
"01/01/2010","68000","99800","60900","100800","581800","152300","3562700","720600","1288100","52500","0","2920500","46800.0"
"02/01/2010","71100","101500","60900","100600","579000","151900","3547900","720000","1276600","52200","0","2898700","46500.0"
"03/01/2010","71100","102100","61300","101900","585400","153500","3590400","727500","1294800","53200","0","2945400","47100.0"
"04/01/2010","72600","103800","62100","103300","593500","155800","3646300","738100","1312500","54600","0","2982800","47800.0"
"05/01/2010","70700","104800","61100","104000","599200","157100","3677600","743700","1324400","55200","0","3007600","48100.0"
"06/01/2010","68800","104100","61300","103400","600700","158000","3694900","748400","1335300","55500","0","3019500","48200.0"
"07/01/2010","68400","101200","60300","102600","593300","154700","3662800","744400","1325000","54700","0","3017200","47700.0"
"08/01/2010","69000","100400","59900","102500","590700","153900","3651800","744500","1318400","55000","0","2984800","47600.0"
"09/01/2010","72500","103300","62000","103400","591100","154800","3661300","739800","1322100","55100","0","2991000","47600.0"
"10/01/2010","73300","104200","62700","104200","595500","156300","3681700","740000","1331400","55300","0","3012200","47700.0"
"11/01/2010","73000","105000","62900","104500","596500","156500","3691700","739300","1338500","55800","0","3023500","47800.0"
"12/01/2010","73600","104200","63000","103900","596500","156200","3692200","738900","1343600","55400","0","3029400","47500.0"
"01/01/2011","68400","100100","62300","101200","587200","152900","3611500","720900","1317000","54200","0","2968800","46900.0"
"02/01/2011","72400","103700","63300","101800","589300","153700","3629500","722500","1319900","54400","0","2979300","47100.0"
"03/01/2011","72600","103700","63200","102500","593800","154500","3656200","730600","1328100","55100","0","3001900","47500.0"
"04/01/2011","74300","104500","64500","102000","600600","155800","3692300","739800","1340500","56600","0","3028200","48200.0"
"05/01/2011","71800","104900","62800","101900","601000","156000","3697400","743100","1344000","57100","0","3029200","48300.0"
"06/01/2011","70500","104700","62200","101700","602800","157100","3717100","751100","1355700","57200","0","3045600","48400.0"
"07/01/2011","70100","102600","61000","101500","601700","155400","3701100","749400","1351200","56400","0","3052600","48000.0"
"08/01/2011","71300","101400","60400","101800","599100","156600","3694100","749100","1346100","56500","0","3026600","48000.0"
"09/01/2011","74700","105500","63100","102000","601600","157400","3715700","745500","1350400","56900","0","3044700","48000.0"
"10/01/2011","74900","104900","64000","102500","607900","157000","3723700","742800","1354500","57200","0","3050400","48000.0"
"11/01/2011","74200","105300","64100","103300","611500","157900","3740500","743500","1363600","57300","0","3060900","48300.0"
"12/01/2011","74800","103900","64200","102900","610000","157600","3734400","743500","1362900","57100","0","3065400","47800.0"
"01/01/2012","70500","101500","63100","100400","598300","154500","3659200","728500","1343000","55900","0","3001600","47400.0"
"02/01/2012","74700","105100","63700","100500","600400","155000","3676400","731700","1346200","56400","0","3016900","47500.0"
"03/01/2012","74600","105500","63300","101200","605400","156600","3704000","738100","1356000","56900","0","3044800","47900.0"
"04/01/2012","76100","105700","64200","102400","611200","157100","3728100","744700","1361700","57500","0","3059000","48100.0"
"05/01/2012","74200","106500","62100","102400","613600","158100","3738500","747000","1368100","57600","0","3073400","48000.0"
"06/01/2012","71800","104700","62000","101900","617900","157900","3758900","754400","1380300","57900","0","3088600","48200.0"
"07/01/2012","70900","102300","61100","101700","611500","156900","3724600","751300","1369900","57000","0","3077900","47300.0"
"08/01/2012","72300","102100","61200","102400","614400","158200","3737800","753000","1373000","57600","0","3066300","47400.0"
"09/01/2012","76400","106000","64300","102300","615300","158700","3750900","748800","1373200","57500","0","3078800","47700.0"
"10/01/2012","76600","106700","65000","103000","619900","158700","3773000","753600","1382300","58000","0","3100100","47900.0"
"11/01/2012","75900","107300","64800","103600","622900","159900","3790200","755300","1389600","58300","0","3113600","48200.0"
"12/01/2012","76800","106400","64800","103100","624600","159700","3788300","755600","1388000","58400","0","3112300","48200.0"
"01/01/2013","71400","103000","63900","101000","609500","155900","3700500","740200","1365600","57400","0","3050300","47100.0"
"02/01/2013","75900","106000","64200","101200","612300","156900","3720200","742600","1367200","57600","0","3064900","47400.0"
"03/01/2013","76200","105800","64000","101500","616600","158000","3740900","748700","1372900","58200","0","3081300","47900.0"
"04/01/2013","76700","107200","64700","102800","621600","158700","3764000","755100","1377800","58700","0","3096900","48600.0"
"05/01/2013","75500","107200","61800","102500","622100","159200","3770300","758400","1383800","59100","0","3108900","48600.0"
"06/01/2013","73000","105800","62000","102900","625200","158700","3785200","765200","1391100","59100","0","3112100","48900.0"
"07/01/2013","72200","104000","61100","102600","622800","158300","3761700","763700","1379600","58500","0","3107300","48200.0"
"08/01/2013","73300","104100","61400","103100","623700","158900","3765600","765500","1378200","58900","0","3092700","48200.0"
"09/01/2013","77100","107500","64400","102600","623700","159900","3770500","758700","1380000","59200","0","3102400","48400.0"
"10/01/2013","77300","106300","65000","102600","626000","160100","3776800","758900","1377300","59800","0","3106300","48500.0"
"11/01/2013","77000","107300","65400","103700","635100","161200","3801900","760400","1386400","60000","0","3127100","48800.0"
"12/01/2013","77400","106400","65400","103400","632700","160900","3789800","760400","1382300","59500","0","3119800","48700.0"
"01/01/2014","72600","103900","63400","101700","621000","158000","3710400","742800","1359800","58200","0","3054300","47900.0"
"02/01/2014","76600","106500","64100","101400","618900","157600","3710600","742400","1357100","58100","0","3062600","47900.0"
"03/01/2014","76800","107200","63800","102100","624400","159100","3736800","748900","1363700","59000","0","3080900","48200.0"
"04/01/2014","77100","110000","65000","103200","631800","160400","3783900","758300","1375100","60100","0","3108300","48600.0"
"05/01/2014","75300","110000","63300","103300","636300","161000","3801600","762800","1385800","60300","0","3131300","48900.0"
"06/01/2014","72800","109000","62600","103300","638500","161000","3814600","768200","1394600","60300","0","3140600","49000.0"
"07/01/2014","72700","106700","62000","103300","634000","159100","3787400","764900","1383300","59600","0","3123400","48600.0"
"08/01/2014","73900","107300","61900","103000","635200","160000","3792600","767500","1381900","59900","0","3110800","48800.0"
"09/01/2014","77200","111400","64800","103200","634100","161200","3798900","761000","1379300","59900","0","3128100","49100.0"
"10/01/2014","77100","110300","65300","103800","637600","160700","3811200","760500","1387300","59900","0","3143100","49100.0"
"11/01/2014","76600","111900","65400","104500","644000","162000","3828800","761600","1393000","60500","0","3155500","49500.0"
"12/01/2014","77600","111500","65600","104000","644400","162000","3824600","761700","1390600","60200","0","3154100","49200.0"
"01/01/2015","73000","108900","63900","101800","633900","158500","3758300","748100","1373300","59300","0","3103600","48300.0"
"02/01/2015","77400","111200","64800","101800","634100","158500","3766500","748700","1372300","59400","0","3116000","48500.0"
"03/01/2015","77000","111200","64500","102000","636800","159100","3780100","752300","1375000","59900","0","3124100","48900.0"
"04/01/2015","78400","113300","65300","103900","645400","159700","3841500","763600","1399800","60800","0","3155400","49200.0"
"05/01/2015","76700","112700","63900","104400","650400","160800","3860900","768000","1411100","60900","0","3178300","49600.0"
"06/01/2015","74600","112100","63600","104200","653400","160000","3878100","774000","1422600","61400","0","3190000","49700.0"
"07/01/2015","74300","110700","63400","104400","652500","159400","3877500","775200","1421100","60900","0","3189600","49300.0"
"08/01/2015","76200","110500","62400","104800","653400","160400","3877200","776700","1417700","61400","0","3170900","49400.0"
"09/01/2015","79300","114900","65800","104900","656300","161100","3888500","771700","1416000","61800","0","3187400","49400.0"
"10/01/2015","79300","114400","66500","105000","663600","161800","3915200","774400","1428500","61900","0","3212700","50100.0"
"11/01/2015","79000","115200","67000","105300","669700","162700","3934400","775800","1436400","62200","0","3226800","50200.0"
"12/01/2015","79500","114300","67200","105000","668100","162700","3930400","775400","1435500","61900","0","3230900","50300.0"
"01/01/2016","73300","110100","65500","102600","653100","159600","3835900","755600","1409500","60800","0","3162600","49200.0"
"02/01/2016","78300","113100","66600","102300","655100","159200","3851000","757300","1410500","61000","0","3174100","49200.0"
"03/01/2016","78300","113600","66600","103500","657800","161400","3876700","763300","1417900","61700","0","3194500","50000.0"
"04/01/2016","79900","115300","67800","103900","664600","162700","3921700","772800","1437900","62400","0","3230300","50300.0"
"05/01/2016","77800","114400","65900","104100","664500","162900","3925000","773700","1445800","62200","0","3240000","50400.0"
"06/01/2016","74700","114400","65700","103900","667700","162800","3942900","781300","1457300","62300","0","3246900","50600.0"
"07/01/2016","74200","111700","64900","103100","663800","160800","3918400","778100","1444200","61600","0","3238400","50200.0"
"08/01/2016","75800","112500","64700","103700","664100","161600","3921200","779400","1445000","62300","0","3227300","50400.0"
"09/01/2016","79600","116600","67800","104800","667300","162800","3939000","776800","1445800","62400","0","3241500","50600.0"
"10/01/2016","79800","116300","68600","105100","672300","163800","3960600","777900","1454800","62700","0","3260000","50900.0"
"11/01/2016","79200","117400","68900","105400","671700","163900","3964400","773400","1456500","63100","0","3267800","51100.0"
"12/01/2016","79500","116400","68700","105300","669700","164400","3953800","772200","1456100","62600","0","3269800","50900.0"
"01/01/2017","73800","112900","67600","102700","658000","161800","3887700","760100","1437100","61800","0","3217400","50300.0"
